Title,Genre,Director,Actors,Year,Runtime (Minutes),Revenue (Millions)
The Best of Me,"'Drama,Romance'",'Michael Hoffman',"'James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato'",2014,118,26.76
The Fault in Our Stars,"'Drama,Romance'",'Josh Boone',"'Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern'",2014,126,124.87
The Light Between Oceans,"'Drama,Romance'",'Derek Cianfrance',"'Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery'",2016,133,12.53
The Lucky One,"'Drama,Romance'",'Scott Hicks',"'Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart'",2012,101,60.44
The Perks of Being a Wallflower,"'Drama,Romance'",'Stephen Chbosky',"'Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd'",2012,102,17.74
Children of Men,"'Drama,Sci-Fi,Thriller'",'Alfonso Cuarón',"'Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine'",2006,109,35.29
Gravity,"'Drama,Sci-Fi,Thriller'",'Alfonso Cuarón',"'Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen'",2013,91,274.08
Into the Forest,"'Drama,Sci-Fi,Thriller'",'Patricia Rozema',"'Ellen Page, Evan Rachel Wood, Max Minghella,Callum Keith Rennie'",2015,101,0.01
Cloud Atlas,"'Drama,Sci-Fi'",'Tom Tykwer',"'Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving'",2012,172,27.1
The Fountain,"'Drama,Sci-Fi'",'Darren Aronofsky',"'Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn'",2006,96,10.14
Creed,"'Drama,Sport'",'Ryan Coogler',"'Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad'",2015,133,109.71
Rocky Balboa,"'Drama,Sport'",'Sylvester Stallone',"'Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young'",2006,102,70.27
Southpaw,"'Drama,Sport'",'Antoine Fuqua',"'Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker'",2015,124,52.42
Eye in the Sky,"'Drama,Thriller,War'",'Gavin Hood',"'Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi'",2015,102,18.7
Contagion,"'Drama,Thriller'",'Steven Soderbergh',"'Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow'",2011,106,75.64
Flight,"'Drama,Thriller'",'Robert Zemeckis',"'Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman'",2012,138,93.75
Man Down,"'Drama,Thriller'",'Dito Montiel',"'Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara'",2015,90,
Nocturnal Animals,"'Drama,Thriller'",'Tom Ford',"'Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson'",2016,116,10.64
The imposible,"'Drama,Thriller'",'J.A. Bayona',"'Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast'",2012,114,19
The Lives of Others,"'Drama,Thriller'",'Florian Henckel von Donnersmarck',"'Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur'",2006,137,11.28
Macbeth,"'Drama,War'",'Justin Kurzel',"'Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan'",2015,113,
The Boy in the Striped Pyjamas,"'Drama,War'",'Mark Herman',"'Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien'",2008,94,9.03
Django Unchained,"'Drama,Western'",'Quentin Tarantino',"'Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington'",2012,165,162.8
Babel,'Drama','Alejandro González Iñárritu',"'Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam'",2006,143,34.3
Below Her Mouth,'Drama','April Mullen',"'Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen'",2016,94,
Boyhood,'Drama','Richard Linklater',"'Ellar Coltrane, Patricia Arquette, Ethan Hawke,Elijah Smith'",2014,165,25.36
Gran Torino,'Drama','Clint Eastwood',"'Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her'",2008,116,148.09
Joy,'Drama','David O. Russell',"'Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez'",2015,124,56.44
Lady Macbeth,'Drama','William Oldroyd',"'Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie'",2016,89,
Manchester by the Sea,'Drama','Kenneth Lonergan',"'Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges'",2016,137,47.7
Moonlight,'Drama','Barry Jenkins',"'Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert'",2016,111,27.85
Paint It Black,'Drama','Amber Tamblyn',"'Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina'",2016,96,
Precious,'Drama','Lee Daniels',"'Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey'",2009,110,47.54
Room,'Drama','Lenny Abrahamson',"'Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson'",2015,118,14.68
Shame,'Drama','Steve McQueen',"'Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters'",2011,101,4
Slumdog Millionaire,'Drama','Danny Boyle',"'Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor'",2008,120,141.32
The Daughter,'Drama','Simon Stone',"'Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie'",2015,96,0.03
The Help,'Drama','Tate Taylor',"'Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard'",2011,146,169.71
The Sea of Trees,'Drama','Gus Van Sant',"'Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta'",2015,110,0.02
Winter's Bone,'Drama','Debra Granik',"'Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone'",2010,100,
1408,"'Fantasy,Horror'",'Mikael Håfström',"'John Cusack, Samuel L. Jackson, Mary McCormack, Paul Birchard'",2007,104,71.98
Evil Dead,"'Fantasy,Horror'",'Fede Alvarez',"'Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci'",2013,91,54.24
Annabelle,"'Horror,Mystery,Thriller'",'John R. Leonetti',"'Ward Horton, Annabelle Wallis, Alfre Woodard,Tony Amendola'",2014,99,84.26
Insidious,"'Horror,Mystery,Thriller'",'James Wan',"'Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye'",2010,103,53.99
Orphan,"'Horror,Mystery,Thriller'",'Jaume Collet-Serra',"'Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder'",2009,123,41.57
The Autopsy of Jane Doe,"'Horror,Mystery,Thriller'",'Andre Øvredal',"'Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton'",2016,86,
The Conjuring,"'Horror,Mystery,Thriller'",'James Wan',"'Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor'",2013,112,137.39
The Strangers,"'Horror,Mystery,Thriller'",'Bryan Bertino',"'Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher'",2008,86,52.53
Sinister,"'Horror,Mystery'",'Scott Derrickson',"'Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson'",2012,110,48.06
Morgan,"'Horror,Sci-Fi,Thriller'",'Luke Scott',"'Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare'",2016,92,3.91
Rupture,"'Horror,Sci-Fi,Thriller'",'Steven Shainberg',"'Noomi Rapace, Michael Chiklis, Kerry Bishe,Peter Stormare'",2016,102,
The Purge,"'Horror,Sci-Fi,Thriller'",'James DeMonaco',"'Ethan Hawke, Lena Headey, Max Burkholder,Adelaide Kane'",2013,85,64.42
31,"'Horror,Thriller'",'Rob Zombie',"'Malcolm McDowell, Richard Brake, Jeff Daniel Phillips,Sheri Moon Zombie'",2016,102,0.78
Blair Witch,"'Horror,Thriller'",'Adam Wingard',"'James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott'",2016,89,20.75
Friend Request,"'Horror,Thriller'",'Simon Verhoeven',"'Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan'",2016,92,64.03
Hush,"'Horror,Thriller'",'Mike Flanagan',"'John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan'",2016,81,
Mama,"'Horror,Thriller'",'Andres Muschietti',"'Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nelisse'",2013,100,71.59
Pet,"'Horror,Thriller'",'Carles Torrens',"'Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald'",2016,94,
Split,"'Horror,Thriller'",'M. Night Shyamalan',"'James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula'",2016,117,138.12
The Neon Demon,"'Horror,Thriller'",'Nicolas Winding Refn',"'Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman'",2016,118,1.33
Friday the 13th,'Horror','Marcus Nispel',"'Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker'",2009,97,65
Lights Out,'Horror','David F. Sandberg',"'Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke'",2016,81,67.24
The Cabin in the Woods,'Horror','Drew Goddard',"'Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz'",2012,95,42.04
The Hills Have Eyes,'Horror','Alexandre Aja',"'Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin'",2006,107,41.78
The Mist,'Horror','Frank Darabont',"'Thomas Jane, Marcia Gay Harden, Laurie Holden,Andre Braugher'",2007,126,25.59
Source Code,"'Mystery,Romance,Sci-Fi'",'Duncan Jones',"'Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga,Jeffrey Wright'",2011,93,54.7
The Loft,"'Mystery,Romance,Thriller'",'Erik Van Looy',"'Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet'",2014,108,5.98
Limitless,"'Mystery,Sci-Fi,Thriller'",'Neil Burger',"'Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro'",2011,105,79.24
Super 8,"'Mystery,Sci-Fi,Thriller'",'J.J. Abrams',"'Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney'",2011,112,126.98
Enemy,"'Mystery,Thriller'",'Denis Villeneuve',"'Jake Gyllenhaal, Melanie Laurent, Sarah Gadon,Isabella Rossellini'",2013,91,1.01
Shutter Island,"'Mystery,Thriller'",'Martin Scorsese',"'Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley'",2010,138,127.97
The Da Vinci Code,"'Mystery,Thriller'",'Ron Howard',"'Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen'",2006,149,217.54
The Ghost Writer,"'Mystery,Thriller'",'Roman Polanski',"'Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal'",2010,128,15.52
The Gift,"'Mystery,Thriller'",'Joel Edgerton',"'Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman'",2015,108,43.77
The Adjustment Bureau,"'Romance,Sci-Fi,Thriller'",'George Nolfi',"'Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner'",2011,106,62.45
The Bad Batch,"'Romance,Sci-Fi'",'Ana Lily Amirpour',"'Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna'",2016,118,
The Happening,"'Sci-Fi,Thriller'",'M. Night Shyamalan',"'Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez'",2008,91,64.51
Death Proof,'Thriller','Quentin Tarantino',"'Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito'",2007,113,
Only for One Night,'Thriller','Chris Stokes',"'Brian White, Karrueche Tran, Angelique Pereira,Jessica Vanessa DeLeon'",2016,86,
The Guest,'Thriller','Adam Wingard',"'Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore'",2014,100,0.32
The Thinning,'Thriller','Michael J. Gallagher',"'Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy'",2016,81,
6 Bullets,"'Action,Adventure'",Ernie Barbarash,"'Jean-Claude Van Damme, Joe Flanigan, Anna-Louise Plowman, Charlotte Beaumont, Steve Nicolson'",2012,115,
Air Force One,"'Action,Adventure'",Wolfgang Petersen,"'Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Paul Guilfoyle, William H. Macy, Liesel Matthews, Dean Stockwell'",1997,125,
American Outlaws,"'Action,Adventure'",Les Mayfield,"'Colin Farrell, Scott Caan, Ali Larter, Gabriel Macht, Gregory Smith, Harris Yulin, Kathy Bates, Timothy Dalton, Ty O'Neal, Will McCormack, Ronny Cox, Terry O'Quinn, Muse Watson, Joe Stevens, Barry Tubb'",2001,94,
Batman: The Killing Joke,"'Action,Adventure'",Sam Liu,"'Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North'",2016,77,
Braven,"'Action,Adventure'",Lin Oeding,"'Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rosoff, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher'",2018,94,
Cliffhanger,"'Action,Adventure'",Renny Harlin,"'Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner'",1993,113,
Cradle 2 the Grave,"'Action,Adventure'",Andrzej Bartkowiak,"'Jet Li, DMX, Anthony Anderson, Kelly Hu, Tom Arnold, Mark Dacascos, Gabrielle Union, Michael Jace, Drag-On, Paige Hurd'",2003,101,
Dead Man Down,"'Action,Adventure'",Niels Arden Oplev,"'Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper, Isabelle Huppert, Luis Da Silva Jr., Armand Assante, F. Murray Abraham'",2013,118,
Homefront,"'Action,Adventure'",Gary Fleder,"'Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince'",2013,100,
London Heist,"'Action,Adventure'",Mark McQueen,"'Craig Fairbrass, James Cosmo, Mem Ferda, Nick Moran, Steven Berkoff, Nathalie Cox, Roland Manookian, Eddie Webber, Tony Denham, Katie Clarkson-Hill'",2017,96,
Machete Kills,"'Action,Adventure'",Robert Rodriguez,"'Danny Trejo, Sofía Vergara, Charlie Sheen, Michelle Rodriguez, Demián Bichir, Amber Heard, Mel Gibson, William Sadler, Alexa PenaVega, Antonio Banderas, Lady Gaga, Cuba Gooding Jr., Jessica Alba, Walton Goggins, Vanessa Hudgens'",2013,108,
No Escape,"'Action,Adventure'",John Erick Dowdle,"'Owen Wilson, Lake Bell, Pierce Brosnan, Sterling Jerins, Claire Geare, Thanawut Ketsaro, Chatchawai Kamonsakpitak, Sahajak Boonthanakit'",2015,103,
Sleepless,"'Action,Adventure'",Baran bo Odar,"'Jamie Foxx, Michelle Monaghan, Scoot McNairy, Dermot Mulroney, T.I., David Harbour, Gabrielle Union, Octavius J. Johnson, Tim Connolly, Drew Sheer'",2017,95,
Swordfish,"'Action,Adventure'",Dominic Sena,"'John Travolta, Hugh Jackman, Halle Berry, Don Cheadle, Sam Shepard, Vinnie Jones, Drea de Matteo, Rudolf Martin, Zach Grenier, Camryn Grimes'",2001,99,
The November Man,"'Action,Adventure'",Roger Donaldson,"'Pierce Brosnan, Luke Bracey, Olga Kurylenko, Eliza Taylor, Caterina Scorsone'",2014,108,
The Sum of All Fears,"'Action,Adventure'",Phil Alden Robinson,"'Ben Affleck, Morgan Freeman, Bridget Moynahan, James Cromwell, Liev Schreiber, Michael Byrne, Colm Feore, Alan Bates, Ron Rifkin, Ciarán Hinds, Bruce McGill, Richard Marner, Philip Baker Hall'",2002,124,
The Karate Kid,"'Action,Adventure,Children,Family,Classic'",John G. Avildsen,"'Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison'",1984,127,
Labyrinth,"'Action,Adventure,Children,Family,Cult'",Jim Henson,"'David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury'",1986,101,
In the Line of Fire,"'Action,Adventure,Classic'",Wolfgang Petersen,"'Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole'",1993,129,
The Outlaw Josey Wales,"'Action,Adventure,Classic'",Clint Eastwood,"'Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney, John Vernon, Paula Trueman, Sam Bottoms, Geraldine Keams, Woodrow Parfrey, Joyce Jameson'",1976,136,
Midnight Run,"'Action,Adventure,Classic Movies,Comedy'",Martin Brest,"'Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, Dennis Farina, Joe Pantoliano, Richard Foronjy, Robert Miranda, Jack Kehoe, Wendy Phillips, Philip Baker Hall'",1988,126,
Monty Python and the Holy Grail,"'Action,Adventure,Classic,Comedy'","Terry Gilliam, Terry Jones","'Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes'",1975,92,
Streets of Fire,"'Action,Adventure,Classic,Cult'",Walter Hill,"'Michael Paré, Diane Lane, Rick Moranis, Amy Madigan, Willem Dafoe, Deborah Van Valkenburgh, Richard Lawson, Rick Rossovich, Bill Paxton, Lee Ving'",1984,94,
Dances with Wolves,"'Action,Adventure,Classic,Drama'",Kevin Costner,"'Kevin Costner, Mary McDonnell, Rodney Grant, Graham Greene, Floyd ""Red Crow"" Westerman, Tantoo Cardinal, Robert Pastorelli, Charles Rocket, Maury Chaykin, Jimmy Herman'",1990,181,
America: The Motion Picture,"'Action,Adventure,Comedy'",Matt Thompson,"'Channing Tatum, Jason Mantzoukas, Olivia Munn, Andy Samberg, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg'",2021,98,
American Ultra,"'Action,Adventure,Comedy'",Nima Nourizadeh,"'Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins'",2015,96,
Charlie's Angels,"'Action,Adventure,Comedy'",McG,"'Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson'",2000,98,
Due Date,"'Action,Adventure,Comedy'",Todd Phillips,"'Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh'",2010,95,
Gunpowder Milkshake,"'Action,Adventure,Comedy'",Navot Papushado,"'Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh'",2021,115,
Starsky & Hutch,"'Action,Adventure,Comedy'",Todd Phillips,"'Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Fred Williamson, Jason Bateman, Amy Smart, Carmen Electra, George Cheung'",2004,101,
The Whole Nine Yards,"'Action,Adventure,Comedy'",Jonathan Lynn,"'Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christianssens'",2000,99,
MR. RIGHT,"'Action,Adventure,Comedy,Romance'",Paco Cabezas,"'Sam Rockwell, Anna Kendrick, Tim Roth, James Ransone, Anson Mount, Michael Eklund, RZA, Katie Nehra'",2015,96,
Vampire Academy,"'Action,Adventure,Comedy,Sci-Fi,Fantasy'",Mark Waters,"'Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood, Sarah Hyland, Sami Gayle'",2014,104,
Snowpiercer,"'Action,Adventure,Cult,International'",Bong Joon Ho,"'Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell'",2013,126,
Battlefield Earth,"'Action,Adventure,Cult,Sci-Fi,Fantasy'",Roger Christian,"'John Travolta, Barry Pepper, Forest Whitaker, Kim Coates, Sabine Karsenti, Richard Tyson, Kelly Preston, Michael MacRae, Shaun Austin-Olsen, Tim Post, Michael Byrne'",2000,118,
Poseidon,"'Action,Adventure,Drama'",Wolfgang Petersen,"'Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum'",2006,98,
Tears of the Sun,"'Action,Adventure,Drama'",Antoine Fuqua,"'Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram'",2003,121,
Into the Wild,"'Action,Adventure,Drama,Independent'",Sean Penn,"'Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Catherine Keener, Vince Vaughn, Kristen Stewart, Hal Holbrook, Zach Galifianakis'",2007,148,
Black Sea,"'Action,Adventure,Drama,International'",Kevin MacDonald,"'Jude Law, Scoot McNairy, Ben Mendelsohn, Bobby Schofield, Tobias Menzies, Michael Smiley, Grigoriy Dobrygin, David Threlfall, Jodie Whittaker, Karl Davies'",2015,114,
Rush,"'Action,Adventure,Drama,International'",Ron Howard,"'Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie'",2013,123,
Silver Skates,"'Action,Adventure,Drama,International'",Michael Lockshin,"'Fedor Fedotov, Sonya Priss, Yury Borisov, Kirill Zaitsev, Aleksey Guskov, Severija Janusauskaite, Cathy Belton'",2020,138,
Super Me,"'Action,Adventure,Drama,International'",Zhang Chong,"'Darren Wang, Song Jia, Cao Bingkun, Wu Gang, Chin Shih-chieh, Wang Ziyi, Kevin Lee'",2021,104,
Twilight,"'Action,Adventure,Drama,Romance Movies'",Catherine Hardwicke,"'Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser'",2008,122,
Never Back Down,"'Action,Adventure,Drama,Sport'",Jeff Wadlow,"'Sean Faris, Amber Heard, Cam Gigandet, Evan Peters, Leslie Hope, Djimon Hounsou, Wyatt Smith, Affion Crockett, Neil Brown Jr., Lauren Leech, Tilky Jones, Steven Crowley, Tom Nowicki'",2008,113,
Clear and Present Danger,"'Action,Adventure,Dramas'",Phillip Noyce,"'Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin'",1994,142,
Army of the Dead,"'Action,Adventure,Horror'",Zack Snyder,"'Dave Bautista, Ella Purnell, Omari Hardwick, Garret Dillahunt, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Samantha Win, Richard Cetrone, Michael Cassidy'",2021,148,
Blood Red Sky,"'Action,Adventure,Horror,International'",Peter Thorwarth,"'Peri Baumeister, Alexander Scheer, Kais Setti, Carl Koch'",2021,123,
Underworld,"'Action,Adventure,Horror,Sci-Fi,Fantasy'",Len Wiseman,"'Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles, Robbie Gee, Wentworth Miller, Kevin Grevioux'",2003,121,
Jaws 3,"'Action,Adventure,Horror,Thriller'",Joe Alves,"'Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr.'",,98,
Jaws: The Revenge,"'Action,Adventure,Horror,Thriller'",Joseph Sargent,"'Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine'",1987,,
Dynasty Warriors,"'Action,Adventure,International'",Chow Hin Yeung Roy,"'Wang Kai, Louis Koo, Han Geng, Tony Yang, Carina Lau, NaZha, Lam Suet, Justin Cheung, Ray Lui, Yuan Wenkang'",2021,118,
Monster Run,"'Action,Adventure,International'",Henri Wong,"'Shawn Yue, Jessie Li, Kara Wai, Tu Men, Qiao Shan, Wang Yutian, Yang Di, Wang Zhener'",2020,104,
The Take,"'Action,Adventure,International'",James Watkins,"'Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard'",2016,92,
The Tourist,"'Action,Adventure,Romance'",Florian Henckel von Donnersmarck,"'Angelina Jolie, Johnny Depp, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell, Christian De Sica, Alessio Boni, Daniele Pecci, Giovanni Guidelli'",2010,103,
Battle: Los Angeles,"'Action,Adventure,Sci-Fi,Fantasy'",Jonathan Liebesman,"'Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez, Bridget Moynahan, Ne-Yo, Michael Peña, Lucas Till, Cory Hardrict, Adetokumboh M'Cormack, Jim Parrack'",2011,116,
Chappie,"'Action,Adventure,Sci-Fi,Fantasy'",Neill Blomkamp,"'Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo'",2015,121,
Green Lantern,"'Action,Adventure,Sci-Fi,Fantasy'",Martin Campbell,"'Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins'",2011,114,
How It Ends,"'Action,Adventure,Sci-Fi,Fantasy'",David M. Rosenthal,"'Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Mark O'Brien, Grace Dove'",2018,113,
Star Trek,"'Action,Adventure,Sci-Fi,Fantasy'",J.J. Abrams,"'Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Eric Bana, Leonard Nimoy, Bruce Greenwood, Ben Cross, Winona Ryder'",2009,128,
Stargate,"'Action,Adventure,Sci-Fi,Fantasy'",Roland Emmerich,"'Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors, Alexis Cruz, Mili Avital, Leon Rippy, John Diehl, Carlos Lauchu, Djimon Hounsou'",1994,121,
The Darkest Hour,"'Action,Adventure,Sci-Fi,Fantasy'",Chris Gorak,"'Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman, Veronika Vernadskaya, Dato Bakhtadze, Yuriy Kutsenko'",2011,89,
Time Trap,"'Action,Adventure,Sci-Fi,Fantasy'","Mark Dennis, Ben Foster","'Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari'",2017,88,
Total Recall,"'Action,Adventure,Sci-Fi,Fantasy'",Paul Verhoeven,"'Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore'",1990,114,
Total Recall,"'Action,Adventure,Sci-Fi,Fantasy'",Len Wiseman,"'Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston, Bokeem Woodbine, Bill Nighy'",2014,118,
Real Steel,"'Action,Adventure,Sci-Fi,Fantasy,Sport'",Shawn Levy,"'Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins'",2011,127,
The Hateful Eight,"'Action,Adventure,Thriller'",Quentin Tarantino,"'Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, Bruce Dern, James Parks, Dana Gourrier, Channing Tatum, Zoë Bell'",2015,168,
Unknown,"'Action,Adventure,Thriller'",Jaume Collet-Serra,"'Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock'",2011,113,
